Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,5,0,Some Random Commen with Id 0
1,0,3,42,9,Some Random Commen with Id 1
2,0,3,41,1,Some Random Commen with Id 2
3,0,3,68,4,Some Random Commen with Id 3
4,0,3,158,5,Some Random Commen with Id 4
5,0,3,18,6,Some Random Commen with Id 5
6,0,3,128,0,Some Random Commen with Id 6
7,0,3,131,7,Some Random Commen with Id 7
8,2,0,66,9,Some Random Commen with Id 8
9,2,0,162,6,Some Random Commen with Id 9
10,2,0,159,5,Some Random Commen with Id 10
11,2,0,126,9,Some Random Commen with Id 11
12,2,0,70,8,Some Random Commen with Id 12
13,2,0,72,3,Some Random Commen with Id 13
14,2,0,22,2,Some Random Commen with Id 14
15,2,0,49,0,Some Random Commen with Id 15
16,3,3,197,9,Some Random Commen with Id 16
17,3,3,158,0,Some Random Commen with Id 17
18,3,3,168,3,Some Random Commen with Id 18
19,3,3,185,8,Some Random Commen with Id 19
20,3,3,76,1,Some Random Commen with Id 20
21,3,3,52,4,Some Random Commen with Id 21
22,3,3,143,2,Some Random Commen with Id 22
23,4,7,58,1,Some Random Commen with Id 23
24,4,7,197,7,Some Random Commen with Id 24
25,4,7,196,7,Some Random Commen with Id 25
26,4,7,151,8,Some Random Commen with Id 26
27,5,4,69,3,Some Random Commen with Id 27
28,5,4,110,4,Some Random Commen with Id 28
29,5,4,71,2,Some Random Commen with Id 29
30,5,4,52,1,Some Random Commen with Id 30
31,6,6,46,2,Some Random Commen with Id 31
32,6,6,123,2,Some Random Commen with Id 32
33,6,6,45,3,Some Random Commen with Id 33
34,6,6,122,1,Some Random Commen with Id 34
35,6,6,1,7,Some Random Commen with Id 35
36,6,6,114,0,Some Random Commen with Id 36
37,7,8,60,3,Some Random Commen with Id 37
38,7,8,11,7,Some Random Commen with Id 38
39,7,8,180,6,Some Random Commen with Id 39
40,7,8,178,9,Some Random Commen with Id 40
41,8,4,68,1,Some Random Commen with Id 41
42,8,4,28,1,Some Random Commen with Id 42
43,8,4,142,0,Some Random Commen with Id 43
44,8,4,164,5,Some Random Commen with Id 44
45,8,4,87,4,Some Random Commen with Id 45
46,9,4,145,1,Some Random Commen with Id 46
47,9,4,75,1,Some Random Commen with Id 47
48,9,4,110,6,Some Random Commen with Id 48
49,9,4,43,9,Some Random Commen with Id 49
50,9,4,143,6,Some Random Commen with Id 50
51,9,4,70,3,Some Random Commen with Id 51
52,9,4,87,1,Some Random Commen with Id 52
53,9,4,2,1,Some Random Commen with Id 53
54,9,4,22,6,Some Random Commen with Id 54
55,10,1,153,8,Some Random Commen with Id 55
56,10,1,58,4,Some Random Commen with Id 56
57,10,1,63,9,Some Random Commen with Id 57
58,10,1,162,5,Some Random Commen with Id 58
59,10,1,111,6,Some Random Commen with Id 59
60,10,1,199,1,Some Random Commen with Id 60
61,10,1,117,5,Some Random Commen with Id 61
62,10,1,74,9,Some Random Commen with Id 62
63,11,7,151,1,Some Random Commen with Id 63
64,11,7,100,1,Some Random Commen with Id 64
65,11,7,152,1,Some Random Commen with Id 65
66,12,8,156,0,Some Random Commen with Id 66
67,12,8,51,5,Some Random Commen with Id 67
68,13,0,128,6,Some Random Commen with Id 68
69,13,0,69,8,Some Random Commen with Id 69
70,13,0,146,3,Some Random Commen with Id 70
71,13,0,89,1,Some Random Commen with Id 71
72,13,0,170,7,Some Random Commen with Id 72
73,14,0,140,3,Some Random Commen with Id 73
74,14,0,197,7,Some Random Commen with Id 74
75,14,0,196,5,Some Random Commen with Id 75
76,14,0,139,4,Some Random Commen with Id 76
77,14,0,190,8,Some Random Commen with Id 77
78,14,0,158,6,Some Random Commen with Id 78
79,14,0,165,1,Some Random Commen with Id 79
80,15,9,133,6,Some Random Commen with Id 80
81,15,9,77,4,Some Random Commen with Id 81
82,15,9,125,7,Some Random Commen with Id 82
83,15,9,154,6,Some Random Commen with Id 83
84,15,9,51,4,Some Random Commen with Id 84
85,15,9,70,5,Some Random Commen with Id 85
86,15,9,187,4,Some Random Commen with Id 86
87,15,9,52,6,Some Random Commen with Id 87
88,16,3,182,1,Some Random Commen with Id 88
89,16,3,62,7,Some Random Commen with Id 89
90,16,3,162,5,Some Random Commen with Id 90
91,16,3,8,2,Some Random Commen with Id 91
92,16,3,139,6,Some Random Commen with Id 92
93,16,3,64,9,Some Random Commen with Id 93
94,16,3,68,5,Some Random Commen with Id 94
95,17,5,23,1,Some Random Commen with Id 95
96,17,5,27,2,Some Random Commen with Id 96
97,18,4,56,9,Some Random Commen with Id 97
98,19,1,152,9,Some Random Commen with Id 98
99,19,1,126,2,Some Random Commen with Id 99
100,19,1,53,6,Some Random Commen with Id 100
101,19,1,50,6,Some Random Commen with Id 101
102,19,1,155,8,Some Random Commen with Id 102
103,20,6,47,3,Some Random Commen with Id 103
104,20,6,116,9,Some Random Commen with Id 104
105,20,6,144,5,Some Random Commen with Id 105
106,20,6,146,0,Some Random Commen with Id 106
107,20,6,99,7,Some Random Commen with Id 107
108,20,6,94,1,Some Random Commen with Id 108
109,20,6,184,7,Some Random Commen with Id 109
110,20,6,47,3,Some Random Commen with Id 110
111,21,2,42,7,Some Random Commen with Id 111
112,21,2,196,5,Some Random Commen with Id 112
113,21,2,186,6,Some Random Commen with Id 113
114,21,2,95,0,Some Random Commen with Id 114
115,21,2,156,6,Some Random Commen with Id 115
116,22,2,113,5,Some Random Commen with Id 116
117,22,2,118,5,Some Random Commen with Id 117
118,22,2,125,6,Some Random Commen with Id 118
119,22,2,41,7,Some Random Commen with Id 119
120,23,3,158,1,Some Random Commen with Id 120
121,23,3,6,6,Some Random Commen with Id 121
122,23,3,71,0,Some Random Commen with Id 122
123,24,5,183,2,Some Random Commen with Id 123
124,24,5,88,6,Some Random Commen with Id 124
125,24,5,179,1,Some Random Commen with Id 125
126,24,5,20,3,Some Random Commen with Id 126
127,25,4,74,1,Some Random Commen with Id 127
128,25,4,106,4,Some Random Commen with Id 128
129,25,4,66,5,Some Random Commen with Id 129
130,26,6,10,7,Some Random Commen with Id 130
131,26,6,23,2,Some Random Commen with Id 131
132,26,6,96,9,Some Random Commen with Id 132
133,26,6,143,2,Some Random Commen with Id 133
134,26,6,154,2,Some Random Commen with Id 134
135,27,0,81,4,Some Random Commen with Id 135
136,27,0,43,5,Some Random Commen with Id 136
137,27,0,20,5,Some Random Commen with Id 137
138,27,0,57,2,Some Random Commen with Id 138
139,27,0,169,8,Some Random Commen with Id 139
140,29,8,155,4,Some Random Commen with Id 140
141,29,8,70,9,Some Random Commen with Id 141
142,29,8,95,0,Some Random Commen with Id 142
143,30,9,86,6,Some Random Commen with Id 143
144,30,9,79,9,Some Random Commen with Id 144
145,30,9,1,9,Some Random Commen with Id 145
146,30,9,191,0,Some Random Commen with Id 146
147,30,9,3,6,Some Random Commen with Id 147
148,30,9,192,8,Some Random Commen with Id 148
149,30,9,81,6,Some Random Commen with Id 149
150,30,9,74,1,Some Random Commen with Id 150
151,31,2,180,9,Some Random Commen with Id 151
152,31,2,50,1,Some Random Commen with Id 152
153,31,2,85,3,Some Random Commen with Id 153
154,31,2,32,8,Some Random Commen with Id 154
155,31,2,17,5,Some Random Commen with Id 155
156,32,7,23,4,Some Random Commen with Id 156
157,32,7,34,7,Some Random Commen with Id 157
158,32,7,143,9,Some Random Commen with Id 158
159,32,7,81,4,Some Random Commen with Id 159
160,33,1,64,4,Some Random Commen with Id 160
161,33,1,9,4,Some Random Commen with Id 161
162,33,1,46,0,Some Random Commen with Id 162
163,33,1,198,8,Some Random Commen with Id 163
164,33,1,107,2,Some Random Commen with Id 164
165,33,1,1,8,Some Random Commen with Id 165
166,33,1,162,3,Some Random Commen with Id 166
167,33,1,195,3,Some Random Commen with Id 167
168,34,6,63,2,Some Random Commen with Id 168
169,34,6,137,4,Some Random Commen with Id 169
170,34,6,127,9,Some Random Commen with Id 170
171,34,6,95,3,Some Random Commen with Id 171
172,34,6,19,0,Some Random Commen with Id 172
173,35,4,12,4,Some Random Commen with Id 173
174,35,4,175,9,Some Random Commen with Id 174
175,35,4,190,6,Some Random Commen with Id 175
176,35,4,37,8,Some Random Commen with Id 176
177,35,4,132,5,Some Random Commen with Id 177
178,35,4,158,8,Some Random Commen with Id 178
179,35,4,149,5,Some Random Commen with Id 179
180,35,4,181,7,Some Random Commen with Id 180
181,36,6,47,0,Some Random Commen with Id 181
182,36,6,109,9,Some Random Commen with Id 182
183,36,6,159,7,Some Random Commen with Id 183
184,36,6,139,1,Some Random Commen with Id 184
185,36,6,130,0,Some Random Commen with Id 185
186,37,1,17,2,Some Random Commen with Id 186
187,38,1,36,8,Some Random Commen with Id 187
188,38,1,189,5,Some Random Commen with Id 188
189,38,1,75,3,Some Random Commen with Id 189
190,38,1,95,5,Some Random Commen with Id 190
191,38,1,176,4,Some Random Commen with Id 191
192,39,3,88,3,Some Random Commen with Id 192
193,39,3,75,2,Some Random Commen with Id 193
194,39,3,193,5,Some Random Commen with Id 194
