Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,22,1,Some Random Commen with Id 0
1,1,9,190,4,Some Random Commen with Id 1
2,3,5,112,7,Some Random Commen with Id 2
3,3,5,129,6,Some Random Commen with Id 3
4,3,5,125,7,Some Random Commen with Id 4
5,4,5,172,3,Some Random Commen with Id 5
6,4,5,137,9,Some Random Commen with Id 6
7,4,5,76,4,Some Random Commen with Id 7
8,4,5,119,5,Some Random Commen with Id 8
9,4,5,9,9,Some Random Commen with Id 9
10,5,1,37,0,Some Random Commen with Id 10
11,5,1,108,1,Some Random Commen with Id 11
12,5,1,162,1,Some Random Commen with Id 12
13,5,1,156,3,Some Random Commen with Id 13
14,5,1,86,5,Some Random Commen with Id 14
15,5,1,89,5,Some Random Commen with Id 15
16,5,1,100,8,Some Random Commen with Id 16
17,5,1,199,0,Some Random Commen with Id 17
18,5,1,115,8,Some Random Commen with Id 18
19,6,1,189,5,Some Random Commen with Id 19
20,6,1,73,7,Some Random Commen with Id 20
21,6,1,182,0,Some Random Commen with Id 21
22,6,1,120,8,Some Random Commen with Id 22
23,6,1,15,3,Some Random Commen with Id 23
24,7,6,102,6,Some Random Commen with Id 24
25,7,6,156,8,Some Random Commen with Id 25
26,7,6,116,4,Some Random Commen with Id 26
27,7,6,115,1,Some Random Commen with Id 27
28,7,6,130,5,Some Random Commen with Id 28
29,7,6,173,8,Some Random Commen with Id 29
30,8,1,83,9,Some Random Commen with Id 30
31,8,1,61,9,Some Random Commen with Id 31
32,8,1,82,8,Some Random Commen with Id 32
33,8,1,141,7,Some Random Commen with Id 33
34,8,1,180,6,Some Random Commen with Id 34
35,8,1,193,1,Some Random Commen with Id 35
36,8,1,19,0,Some Random Commen with Id 36
37,10,6,102,2,Some Random Commen with Id 37
38,10,6,11,3,Some Random Commen with Id 38
39,10,6,110,4,Some Random Commen with Id 39
40,10,6,70,1,Some Random Commen with Id 40
41,10,6,106,0,Some Random Commen with Id 41
42,10,6,84,2,Some Random Commen with Id 42
43,11,0,97,6,Some Random Commen with Id 43
44,11,0,47,3,Some Random Commen with Id 44
45,11,0,151,6,Some Random Commen with Id 45
46,11,0,199,1,Some Random Commen with Id 46
47,11,0,69,5,Some Random Commen with Id 47
48,12,4,68,7,Some Random Commen with Id 48
49,12,4,49,2,Some Random Commen with Id 49
50,12,4,97,7,Some Random Commen with Id 50
51,12,4,191,4,Some Random Commen with Id 51
52,12,4,115,9,Some Random Commen with Id 52
53,12,4,173,6,Some Random Commen with Id 53
54,12,4,99,5,Some Random Commen with Id 54
55,12,4,56,1,Some Random Commen with Id 55
56,12,4,147,4,Some Random Commen with Id 56
57,13,8,157,3,Some Random Commen with Id 57
58,13,8,173,5,Some Random Commen with Id 58
59,13,8,137,4,Some Random Commen with Id 59
60,13,8,136,4,Some Random Commen with Id 60
61,13,8,170,6,Some Random Commen with Id 61
62,13,8,83,7,Some Random Commen with Id 62
63,13,8,173,2,Some Random Commen with Id 63
64,13,8,6,2,Some Random Commen with Id 64
65,14,7,87,0,Some Random Commen with Id 65
66,14,7,35,6,Some Random Commen with Id 66
67,14,7,29,3,Some Random Commen with Id 67
68,14,7,148,3,Some Random Commen with Id 68
69,14,7,145,2,Some Random Commen with Id 69
70,15,1,2,5,Some Random Commen with Id 70
71,16,3,172,3,Some Random Commen with Id 71
72,16,3,19,4,Some Random Commen with Id 72
73,16,3,68,1,Some Random Commen with Id 73
74,17,9,34,2,Some Random Commen with Id 74
75,17,9,21,4,Some Random Commen with Id 75
76,17,9,27,2,Some Random Commen with Id 76
77,18,4,1,0,Some Random Commen with Id 77
78,18,4,28,4,Some Random Commen with Id 78
79,18,4,154,0,Some Random Commen with Id 79
80,18,4,87,0,Some Random Commen with Id 80
81,18,4,2,1,Some Random Commen with Id 81
82,19,9,94,8,Some Random Commen with Id 82
83,19,9,118,2,Some Random Commen with Id 83
84,19,9,190,7,Some Random Commen with Id 84
85,19,9,25,1,Some Random Commen with Id 85
86,19,9,182,5,Some Random Commen with Id 86
87,19,9,52,1,Some Random Commen with Id 87
88,19,9,33,6,Some Random Commen with Id 88
89,19,9,101,3,Some Random Commen with Id 89
90,19,9,43,0,Some Random Commen with Id 90
91,20,2,185,8,Some Random Commen with Id 91
92,20,2,196,6,Some Random Commen with Id 92
93,20,2,55,2,Some Random Commen with Id 93
94,20,2,46,0,Some Random Commen with Id 94
95,20,2,134,4,Some Random Commen with Id 95
96,20,2,179,0,Some Random Commen with Id 96
97,20,2,15,0,Some Random Commen with Id 97
98,20,2,44,2,Some Random Commen with Id 98
99,21,3,8,6,Some Random Commen with Id 99
100,21,3,179,5,Some Random Commen with Id 100
101,21,3,129,5,Some Random Commen with Id 101
102,22,2,155,2,Some Random Commen with Id 102
103,22,2,74,5,Some Random Commen with Id 103
104,22,2,194,4,Some Random Commen with Id 104
105,22,2,108,8,Some Random Commen with Id 105
106,22,2,79,5,Some Random Commen with Id 106
107,22,2,57,8,Some Random Commen with Id 107
108,23,0,129,1,Some Random Commen with Id 108
109,23,0,56,9,Some Random Commen with Id 109
110,23,0,50,4,Some Random Commen with Id 110
111,23,0,16,4,Some Random Commen with Id 111
112,24,4,35,9,Some Random Commen with Id 112
113,24,4,102,2,Some Random Commen with Id 113
114,24,4,49,1,Some Random Commen with Id 114
115,24,4,92,3,Some Random Commen with Id 115
116,24,4,147,6,Some Random Commen with Id 116
117,25,6,32,7,Some Random Commen with Id 117
118,25,6,28,4,Some Random Commen with Id 118
119,25,6,120,0,Some Random Commen with Id 119
120,25,6,3,8,Some Random Commen with Id 120
121,26,3,127,0,Some Random Commen with Id 121
122,26,3,167,5,Some Random Commen with Id 122
123,26,3,3,9,Some Random Commen with Id 123
124,26,3,29,7,Some Random Commen with Id 124
125,26,3,119,2,Some Random Commen with Id 125
126,26,3,119,8,Some Random Commen with Id 126
127,27,5,0,5,Some Random Commen with Id 127
128,27,5,152,5,Some Random Commen with Id 128
129,27,5,72,5,Some Random Commen with Id 129
130,28,5,98,2,Some Random Commen with Id 130
131,28,5,71,7,Some Random Commen with Id 131
132,29,3,162,5,Some Random Commen with Id 132
133,29,3,129,2,Some Random Commen with Id 133
134,29,3,68,7,Some Random Commen with Id 134
135,29,3,94,4,Some Random Commen with Id 135
136,29,3,157,3,Some Random Commen with Id 136
137,29,3,40,3,Some Random Commen with Id 137
138,29,3,106,9,Some Random Commen with Id 138
139,30,9,178,1,Some Random Commen with Id 139
140,30,9,162,2,Some Random Commen with Id 140
141,30,9,124,6,Some Random Commen with Id 141
142,30,9,182,1,Some Random Commen with Id 142
143,30,9,135,2,Some Random Commen with Id 143
144,30,9,172,1,Some Random Commen with Id 144
145,30,9,104,0,Some Random Commen with Id 145
146,30,9,141,0,Some Random Commen with Id 146
147,31,2,76,9,Some Random Commen with Id 147
148,31,2,181,0,Some Random Commen with Id 148
149,31,2,185,1,Some Random Commen with Id 149
150,32,3,86,4,Some Random Commen with Id 150
151,32,3,190,6,Some Random Commen with Id 151
152,32,3,15,0,Some Random Commen with Id 152
153,32,3,89,7,Some Random Commen with Id 153
154,32,3,43,6,Some Random Commen with Id 154
155,32,3,6,4,Some Random Commen with Id 155
156,32,3,105,3,Some Random Commen with Id 156
157,32,3,54,4,Some Random Commen with Id 157
158,32,3,89,2,Some Random Commen with Id 158
159,33,9,161,8,Some Random Commen with Id 159
160,33,9,62,4,Some Random Commen with Id 160
161,33,9,72,6,Some Random Commen with Id 161
162,33,9,29,5,Some Random Commen with Id 162
163,33,9,131,9,Some Random Commen with Id 163
164,34,5,17,5,Some Random Commen with Id 164
165,34,5,149,2,Some Random Commen with Id 165
166,34,5,140,0,Some Random Commen with Id 166
167,34,5,111,6,Some Random Commen with Id 167
168,35,7,144,3,Some Random Commen with Id 168
169,35,7,38,6,Some Random Commen with Id 169
